A方类型,B方类型,匹配度积分,等级,关系星座,核心张力,相处建议
安全型,安全型,92,A+,稳如磐石,低·几乎无结构性摩擦,你们的模式是关系教科书。唯一风险是太顺而停止经营——定期制造新鲜感，别让默契变成惰性。
安全型,焦虑型,78,A,港湾与浪,中·焦虑方需要反复确认,"安全方是焦虑方最好的疗愈环境。焦虑方练习""延迟求证""，安全方主动给确定性（报备/回应速度），浪会慢慢靠岸。"
安全型,回避型,70,A-,灯塔与孤岛,中·回避方需要空间,"安全方别把回避方的""需要空间""当拒绝。给空间但不断联，回避方练习""靠近一小步""，孤岛会看到灯塔一直在。"
安全型,恐惧型,75,A-,锚与风筝,中高·恐惧方忽近忽远,"安全方是恐惧方唯一能安全着陆的锚。恐惧方先自我修复（专业支持），安全方保持""稳定在场不追不逼""，风筝终会收线。"
焦虑型,安全型,78,A,港湾与浪,中·焦虑方需要反复确认,"安全方是焦虑方最好的疗愈环境。焦虑方练习""延迟求证""，安全方主动给确定性（报备/回应速度），浪会慢慢靠岸。"
焦虑型,焦虑型,45,C+,火与火,高·双高焦虑互相点燃,"两个焦虑方会互相确认也互相消耗。先各自练习自我安抚，约定""冲突暂停机制""（情绪峰值时暂停30分钟再谈）。"
焦虑型,回避型,38,C,追与逃,极高·经典追-逃循环,"这是最痛的组合：一方越追一方越逃。打破循环需要双方同时改：焦虑方停止追问，回避方承诺""不消失""。建议寻求专业关系咨询。"
焦虑型,恐惧型,35,C,风暴眼,极高·双高焦虑+恐惧叠加,双方情绪强度都很大，容易过山车。先各自稳定情绪基线再谈关系，短期内不建议做重大关系决定。
回避型,安全型,70,A-,灯塔与孤岛,中·回避方需要空间,"安全方别把回避方的""需要空间""当拒绝。给空间但不断联，回避方练习""靠近一小步""，孤岛会看到灯塔一直在。"
回避型,焦虑型,38,C,追与逃,极高·经典追-逃循环,"这是最痛的组合：一方越追一方越逃。打破循环需要双方同时改：焦虑方停止追问，回避方承诺""不消失""。建议寻求专业关系咨询。"
回避型,回避型,58,B-,两座孤岛,中·距离感互相理解但缺亲密,"你们都很独立，不会互相消耗，但也可能长期""搭伙过日子""。约定每周一次""深度对话时间""，练习把感受说出来。"
回避型,恐惧型,42,C+,冰与火,高·回避方推开+恐惧方怕伤,回避方越推开，恐惧方越受伤；恐惧方越靠近，回避方越想逃。双方都需要先自我成长，再决定是否继续。
恐惧型,安全型,75,A-,锚与风筝,中高·恐惧方忽近忽远,"安全方是恐惧方唯一能安全着陆的锚。恐惧方先自我修复（专业支持），安全方保持""稳定在场不追不逼""，风筝终会收线。"
恐惧型,焦虑型,35,C,风暴眼,极高·双高焦虑+恐惧叠加,双方情绪强度都很大，容易过山车。先各自稳定情绪基线再谈关系，短期内不建议做重大关系决定。
恐惧型,回避型,42,C+,冰与火,高·回避方推开+恐惧方怕伤,回避方越推开，恐惧方越受伤；恐惧方越靠近，回避方越想逃。双方都需要先自我成长，再决定是否继续。
恐惧型,恐惧型,30,C-,双面镜,极高·双恐惧互相触发,两个恐惧方会在彼此身上照见自己的伤口。关系短期内很难稳定，强烈建议各自先接受专业支持，重建安全基线。
