维度,维度名,等级,分数段,标准描述
IM,信息代谢,极高,72-99,深度信息处理者——像配备高级解析器的计算机·偏好文字与结构化内容
IM,信息代谢,偏高,58-71,"偏好结构化深度输入·重视""理解""而非""知道"""
IM,信息代谢,中等,43-57,深度与效率之间动态平衡
IM,信息代谢,偏低,28-42,偏好轻量高效的信息获取方式
IM,信息代谢,极低,1-27,视频/音频/对话是主要信息通道
DA,决策架构,极高,72-99,决策链路长而精密·建立评估框架·多源数据验证
DA,决策架构,偏高,58-71,有判断框架·重大决策会设冷静期
DA,决策架构,中等,43-57,分析直觉并用
DA,决策架构,偏低,28-42,信任直觉·决策快·行动中调整
DA,决策架构,极低,1-27,几乎凭直觉决断·讨厌拖延
AS,注意力结构,极高,72-99,极深专注·沉浸后外界消失
AS,注意力结构,偏高,58-71,能进入心流·需要安静环境
AS,注意力结构,中等,43-57,专注与切换灵活平衡
AS,注意力结构,偏低,28-42,多线程处理·频繁切换
AS,注意力结构,极低,1-27,完全多线程·难持续单任务
ME,动机引擎,极高,72-99,内在驱动·好奇心·自我超越
ME,动机引擎,偏高,58-71,内在为主·外部认可为辅
ME,动机引擎,中等,43-57,内外驱动均衡
ME,动机引擎,偏低,28-42,外部认可驱动强
ME,动机引擎,极低,1-27,高度依赖外部反馈与期待
ST,社交拓扑,极高,72-99,社交路由器·连接人与信息
ST,社交拓扑,偏高,58-71,主动经营高质量关系网络
ST,社交拓扑,中等,43-57,平衡社交与独处
ST,社交拓扑,偏低,28-42,独立节点·小圈子高质量
ST,社交拓扑,极低,1-27,几乎完全独立·靠自己获取信息
CB,认知带宽,极高,72-99,享受拆解高难度问题·复杂即兴趣
CB,认知带宽,偏高,58-71,能处理复杂概念·不轻易放弃
CB,认知带宽,中等,43-57,视复杂度而定
CB,认知带宽,偏低,28-42,偏好简化·拒绝过度细节
CB,认知带宽,极低,1-27,强烈回避复杂·只要结论
FM,反馈模式,极高,72-99,对外界反馈高度敏感
FM,反馈模式,偏高,58-71,在意评价但能调节
FM,反馈模式,中等,43-57,内外评价并重
FM,反馈模式,偏低,28-42,评价体系主要来自内部
FM,反馈模式,极低,1-27,几乎不受外界评价影响
TB,信任建立,极高,72-99,高信任门槛·时间+行为一致性验证
TB,信任建立,偏高,58-71,先观察后信任·谨慎
TB,信任建立,中等,43-57,视对象与情境
TB,信任建立,偏低,28-42,倾向先信任再验证
TB,信任建立,极低,1-27,几乎无条件先信任
