人格类型,认知功能栈,IM,DA,AS,ME,ST,CB,FM,TB,总分,均分,等级,强项Top3,弱项Bottom2,样本数,置信度,内容池范式解读
INTJ,Ni-Te-Fi-Se,56.3,73.1,54.3,75.0,69.6,73.1,49.8,54.1,505.3,63.2,B,ME+DA+CB,FM+TB,508,0.729,Ni-Te名实脱钩解构·拆穿爆款真相·0.5秒系统纠偏
INTP,Ti-Ne-Si-Fe,63.2,60.4,63.4,64.6,57.4,70.6,49.0,59.4,488.0,61.0,B,CB+ME+AS,FM+ST,5,0.746,Ti-Ne系统拆解·好奇心持续活跃(组织管理信号待恢复)
ENTJ,Te-Ni-Se-Fi,65.7,73.7,68.7,66.0,81.0,80.3,42.3,57.7,535.4,66.9,A,ST+CB+DA,FM+TB,3,0.763,Te-Ni名单外对手解构·反常识恢复首触·王石75岁再创业旗舰
ENTP,Ne-Ti-Fe-Si,,,,,,,,,,,待数据,,,0,,Ne-Ti可能性穷举·好奇心引擎·跳江又游回来的荒诞拆解
INFJ,Ni-Fe-Ti-Se,41.6,82.8,41.3,61.0,53.2,74.9,60.1,50.2,465.1,58.1,B,DA+CB+ME,AS+IM,320,0.695,Ni-Fe文明价值转移·追科学家的星·0.3秒读到文明脉搏
INFP,Fi-Ne-Si-Te,55.0,60.0,70.0,54.0,55.0,75.0,64.0,33.0,466.0,58.2,B,CB+AS+FM,TB+ME,1,0.714,Fi创作身份·别把最珍贵的东西交到别人的秤上·依恋母题连续5批
ENFJ,Fe-Ni-Se-Ti,72.0,75.0,55.0,66.0,76.0,66.0,58.0,33.0,501.0,62.6,B,ST+DA+IM,TB+AS,903,0.766,Fe-Ni真诚稀缺·四个儿子争养95岁母亲·暖闻的重量
ENFP,Ne-Fi-Te-Si,57.0,64.5,58.0,66.0,85.2,67.0,64.5,66.5,528.7,66.1,A,ST+CB+TB,IM+AS,4,0.224,Fi-Ne自我觉醒·大提琴老师转行馒头9分旗舰·敢在应该和想要之间选后者
ISTJ,Si-Te-Fi-Ne,,,,,,,,,,,待数据,,,0,,Si-Te规则手册·稳定自持·信任7.5分自持型
ISFJ,Si-Fe-Ti-Ne,60.0,75.0,50.0,50.0,50.0,50.0,66.0,55.0,456.0,57.0,B,DA+FM+IM,AS+ME,1,0.758,Si-Fe守护型·样本待补
ESTJ,Te-Si-Ne-Fi,,,,,,,,,,,待数据,,,0,,Te-Si执行系统·样本待补
ESFJ,Fe-Si-Ne-Ti,,,,,,,,,,,待数据,,,0,,Fe-Si社群枢纽·样本待补
ISTP,Ti-Se-Ni-Fe,75.0,57.9,74.6,57.7,65.5,55.7,54.1,56.6,497.1,62.1,B,IM+AS+ST,FM+CB,1134,0.733,Ti-Se机械直觉·SP象限盲区·待人类决策(ESC-08-17-1)
ISFP,Fi-Se-Ni-Te,69.7,55.7,55.0,59.7,65.0,57.0,62.3,67.7,492.1,61.5,B,IM+TB+ST,AS+DA,3,0.732,Fi-Se感官叙事·样本待补
ESTP,Se-Ti-Fe-Ni,58.0,63.0,78.9,66.0,83.0,58.0,48.0,50.0,504.9,63.1,B,ST+AS+ME,FM+TB,488,0.768,Se-Ti行动优先·SP象限盲区·待人类决策(ESC-08-17-1)
ESFP,Se-Fi-Te-Ni,54.0,60.0,55.0,61.0,80.0,55.0,74.9,66.0,505.9,63.2,B,ST+FM+TB,IM+AS,384,0.296,Se-Fi现场感知·SP象限盲区·待人类决策(ESC-08-17-1)
